project,full_url,pr_number,commit_sha,author,language,system_loc,cloned_loc,clone_density
testfx,https://github.com/microsoft/testfx,4497,af6000b71447d930a0492e78e6bc369f169a1a13,human,cs,64718,915,1.41
testfx,https://github.com/microsoft/testfx,4502,104b9feee3c21232f88787283056137af3255541,human,cs,66743,915,1.37
testfx,https://github.com/microsoft/testfx,4522,16cda01fe0f2301e63d80dde8408b0152cd2bc7c,human,cs,66302,915,1.38
testfx,https://github.com/microsoft/testfx,4527,5d4f72b9588d15eaae7cdfb7d874c85f68ac0023,human,cs,66214,915,1.38
testfx,https://github.com/microsoft/testfx,4585,fc863cb4b2704a6d2e4068545e0e3beb97f5169f,human,cs,67863,915,1.35
testfx,https://github.com/microsoft/testfx,4604,cb84ac2cad4adbda646df488214203b11b149146,human,cs,67109,915,1.36
testfx,https://github.com/microsoft/testfx,4626,484bb0b827feec2fa7f605a8fc1093c676b10e51,human,cs,63870,871,1.36
testfx,https://github.com/microsoft/testfx,4765,ed026e93e512d48a66dba911c033aad21298fa3e,human,cs,67875,915,1.35
testfx,https://github.com/microsoft/testfx,4785,ace30dd4548c9417ca9d8ff5939c997c42b3a216,human,cs,63961,871,1.36
testfx,https://github.com/microsoft/testfx,4792,017d1a090a9b922361b7c0cc558744f3c85765ca,human,cs,68124,915,1.34
testfx,https://github.com/microsoft/testfx,4836,581bb8a399e169dbec7477422ac688e5c0802f24,human,cs,68320,915,1.34
testfx,https://github.com/microsoft/testfx,4844,e40a555b49570359207c53d931ffa63042c4c72e,human,cs,68680,915,1.33
testfx,https://github.com/microsoft/testfx,4926,890a1ffecf794fc1b0387bae9c038ef098345b86,human,cs,69352,915,1.32
testfx,https://github.com/microsoft/testfx,5124,dffa52228dd25c6187d91164c9f16364c3906fbd,human,cs,72568,1457,2.01
testfx,https://github.com/microsoft/testfx,5128,5afb70a973fbe4d96b1792801730f6f8bdc5df26,human,cs,71318,1057,1.48
testfx,https://github.com/microsoft/testfx,5221,029adc08c294061a39e1e1e960bbecc38749745f,human,cs,71362,1057,1.48
testfx,https://github.com/microsoft/testfx,5236,b1c677cd8bded80d1da61c89b1fd6b3756f1ab6a,human,cs,72361,1457,2.01
