full_name,sha,author,pr_type,language,number
airbytehq/airbyte,c41032bdc0de0d2218c988bb2b1e299b45c1d6c9,Airbyte,human,Python,60691
airbytehq/airbyte,044b07284b3a796876a708003857c8112bfc9935,Airbyte,human,Python,52421
airbytehq/airbyte,a95b508869ff012d3c7f7c27bdce8f4808e7ddff,Marcos Marx,human,Python,56369
airbytehq/airbyte,489872a97444b064112bcf0e7d2db63716e69148,Airbyte,human,Python,58991
airbytehq/airbyte,7a8fa5ada829d59e2d434cd8f19f691484cef3de,Airbyte,human,Python,53485
airbytehq/airbyte,3e03d6b04e5e490af2e4d2b95159fc9cc7cda538,Edward Gao,human,Python,50971
airbytehq/airbyte,3a0f91545bddf6a142f0c9bb197011768361b03c,Airbyte,human,Python,58189
airbytehq/airbyte,fdce5fa0753d2cf755afe90e9ad0f8cc6c1b7d65,Airbyte,human,Python,59370
airbytehq/airbyte,df4a025070c2879a5497c3cff84438d3e7f4571b,darynaishchenko,human,Python,61502
airbytehq/airbyte,f9ddc6f91895dcb30cf91ec0a35a1bbcd5f6ef87,Airbyte,human,Python,54298
airbytehq/airbyte,2ee7f208fc4919ec7dfcb21a3321004e82cb646f,Airbyte,human,Python,58022
airbytehq/airbyte,137be2ae14278b17d95297ab1871ba54b08facc1,Airbyte,human,Python,56504
airbytehq/airbyte,628fe9db4f38812b56d4254d728eaef94a43b81a,Airbyte,human,Python,54057
airbytehq/airbyte,695eddc37eedc6c9df122637be06a46e7bac114e,Airbyte,human,Python,54504
airbytehq/airbyte,9276a7db160d8be5306895fc1ac51f50a15b6fa8,Edward Gao,human,Python,53686
airbytehq/airbyte,9556af8c0f5f9cbfa10792f944588b06d5ddfab8,Airbyte,human,Python,53081
airbytehq/airbyte,c9a2e8876c5119b5ab6fc4ab77ce7d012841270c,Airbyte,human,Python,51109
airbytehq/airbyte,4853f74131a9e13081a40e7fc71cf37a9901e977,Airbyte,human,Python,60402
airbytehq/airbyte,212878a6b26b5bddf96ee162f8ec7d78804404a3,Airbyte,human,Python,51714
airbytehq/airbyte,43a4bb3cd68443c006d356df719a66fb1fb26336,Airbyte,human,Python,55913
airbytehq/airbyte,d369aa93eeec31ccb57a7663beccefac68bbfc8b,Airbyte,human,Python,59068
airbytehq/airbyte,c067dabcc84dd7185804ab389dfbe8d437413eaa,Airbyte,human,Python,55145
airbytehq/airbyte,66cca744bc1a58f5571fd6d99fb2a35fbf8297a6,Airbyte,human,Python,54808
airbytehq/airbyte,cbfd9383ab0f9d0c3acd372b990b6cbb0554b2f4,Airbyte,human,Python,54029
airbytehq/airbyte,63976490390de3bebc3dae641a28578eef5d8e16,Edward Gao,human,Python,61530
airbytehq/airbyte,46ad6e4abf4d9417e8dec22ba1aed8563dadde7e,Airbyte,human,Python,55144
airbytehq/airbyte,f4516e84c53f13ad424aa60bf2c5b812d9ee4d51,Airbyte,human,Python,56682
airbytehq/airbyte,05402a872da1553d3ad945f81a77a3120d9993e1,Airbyte,human,Python,56841
airbytehq/airbyte,b6e972e5dc3b7c5a96ccc0665b0cb9e6331152ef,Airbyte,human,Python,54547
airbytehq/airbyte,af669a9917fb458ec37cd1d4830dc58434621b87,Aaron Steers,human,Python,60335
airbytehq/airbyte,da37b1fb08fb9a77db926ab7f98f26eaa38c366c,Airbyte,human,Python,61956
airbytehq/airbyte,f4eac780abf72045bd92ebaf797ac935251be0d2,Airbyte,human,Python,58830
airbytehq/airbyte,85241fa171654e7f59208a59e21a8d63f28cfa06,Airbyte,human,Python,59373
airbytehq/airbyte,7e84979bc94fd5db5d1724fcb069553c6b442cd3,Airbyte,human,Python,51072
airbytehq/airbyte,e041a1254b927341343d37b58d0db0f9b5743fa7,Airbyte,human,Python,58002
airbytehq/airbyte,30fd98ac2f085b93026bcaf6430c50f8d8c5bf4d,Airbyte,human,Python,58223
airbytehq/airbyte,3f63c5cf0db11dd645ae6d3d5f72493084c36a21,Airbyte,human,Python,61819
airbytehq/airbyte,c8cbfc9684d7b31583f06c241727c813303e672a,Airbyte,human,Python,51651
airbytehq/airbyte,020c93ea7fce2ba36bc16cbd303dcae9d46ca24a,Airbyte,human,Python,51736
airbytehq/airbyte,d1bc5c70550a91b21ab658141847ea84d68915e9,Airbyte,human,Python,57719
airbytehq/airbyte,e25f694a84a50c960ed9451477bf584c84bbd8d7,Airbyte,human,Python,61939
airbytehq/airbyte,05a18131594f9ba5086648eb73005080a55a9aca,Airbyte,human,Python,53334
airbytehq/airbyte,c8528e7f4635e13c56719a6c067477163fc3c629,Airbyte,human,Python,54577
airbytehq/airbyte,ede5c9989be2889209b953d8829993e6e465c104,Airbyte,human,Python,51857
airbytehq/airbyte,322b118dae63e41f209671e77fd9614257dc7d04,Evan Tahler,human,Python,55831
airbytehq/airbyte,1cedd151817b01dfea7ddbf84c4ac43658044f0a,Airbyte,human,Python,57944
airbytehq/airbyte,a5ec69a7693e7c3d6f6873e8da3e4050fe6f288c,Airbyte,human,Python,53512
airbytehq/airbyte,60f433e52c5224483326b57ecab2f6a5e2210be5,Airbyte,human,Python,52249
airbytehq/airbyte,434f0e91f4bf99a625f737f6f1934b3a9ccbb776,Airbyte,human,Python,57969
airbytehq/airbyte,fe906f2820b59232b061b55910c8d4a3f20f0b58,Airbyte,human,Python,58221
airbytehq/airbyte,2025f40c37525ad4dc107461ea7d7068c5abdfbb,Airbyte,human,Python,51146
airbytehq/airbyte,41abb71af6e920d3186ddc36f7bc3095db24382a,Airbyte,human,Python,58889
airbytehq/airbyte,3af062e06fd0bd14b9d9bf4c37b600a98eac8681,Airbyte,human,Python,57253
airbytehq/airbyte,0e5b7ec9e72c1cd49d503ab9beadcb68af82136a,Airbyte,human,Python,56888
airbytehq/airbyte,db7e40045401684dc7674950224cffff0e0e9519,Airbyte,human,Python,51858
airbytehq/airbyte,c53a9e4cc319bb9dcbd3b97acee52295c6f153b2,Airbyte,human,Python,56099
airbytehq/airbyte,5ba355bbf903db8e0ec66123728f660ae906f859,Airbyte,human,Python,58211
airbytehq/airbyte,42326cb75bb27595e24e5a5293dd3bd4999e4aad,Airbyte,human,Python,52177
airbytehq/airbyte,bf8996443659f492500652e05e9d61004d0c7da1,Airbyte,human,Python,55107
airbytehq/airbyte,fd1a357cfdaf43dd203b848902aec0dc1f3cad81,Airbyte,human,Python,57910
airbytehq/airbyte,ab8ee45c67ae8b8c483235b2cd2e8eb224fc488f,Airbyte,human,Python,58217
airbytehq/airbyte,de3057733eb63f53804e94786c1ee3fb35b3b76b,Airbyte,human,Python,54326
airbytehq/airbyte,b904ffbc49a74214d3c96bcb69f2716538887236,Airbyte,human,Python,55307
airbytehq/airbyte,b3bbc5c981c58f1e0a17b962dbb4b1660e7b5300,Airbyte,human,Python,51875
airbytehq/airbyte,a537affc0fdfbf3b0584878e78bc39ded2a94b1a,Airbyte,human,Python,59445
airbytehq/airbyte,9f94782e013b32bfb799ec321d0360541d894081,Tyler B,human,Python,51561
airbytehq/airbyte,b5528893fe3e9d6f1777bb2b75476d50553a3f29,Airbyte,human,Python,57081
airbytehq/airbyte,22c409d8f0dd8aeecddb017f3d5c7f216e81cbfb,Airbyte,human,Python,53798
airbytehq/airbyte,37626eba3ed36b7cbf7c7afd5312f2f68e38ebf4,Airbyte,human,Python,52404
airbytehq/airbyte,7989c392aaccca6539cccfefaba3fceea711fdb6,Airbyte,human,Python,60534
airbytehq/airbyte,7211fa151bff18d41c831c2de2609e791f71eb31,Airbyte,human,Python,51308
airbytehq/airbyte,75a7f47f24359607590a8f5d9f5e11245aad1790,Airbyte,human,Python,61991
airbytehq/airbyte,e6c4104bd485ddfc491ee76ec456c889b5905b91,Airbyte,human,Python,56131
airbytehq/airbyte,a386c2dfa1b8fec94ab398b2d7f4c1f3b671eb2d,Airbyte,human,Python,51437
airbytehq/airbyte,dfc012d080d0ae3cb8a407e75091100ab9a889f0,Airbyte,human,Python,52007
airbytehq/airbyte,42322b8e8abb35e261eb7d27a9a14bfc8db60889,Airbyte,human,Python,59377
airbytehq/airbyte,f8dee82da18d718be7ee5032228cfaafadb69790,Airbyte,human,Python,53807
airbytehq/airbyte,82e66044e9b0f528dfecc8eb4323682aee66e08e,benmoriceau,human,Python,50961
airbytehq/airbyte,6ab17f14e418323fe09108b76e9289c11fcbf6e6,Airbyte,human,Python,56667
airbytehq/airbyte,0595a32d3868985655dd4967bce0d462619c1823,Airbyte,human,Python,61610
airbytehq/airbyte,4f120e3abd02e129444a636a20309275dfbd1083,ian-at-airbyte,human,Python,60815
airbytehq/airbyte,fe6cb3ef11267bb96ff790d150ec27f69f33460f,Airbyte,human,Python,57405
airbytehq/airbyte,b2872cdf943c11328ac9d5fad06e5f46cd48aa1d,Airbyte,human,Python,54090
airbytehq/airbyte,e484044420ea4cf8d39ccf47cc7ab2451bdd2a36,Airbyte,human,Python,57127
airbytehq/airbyte,74ecfe8b43bdf9fa7fce4fb4202d4c85ba0edb47,Airbyte,human,Python,56613
airbytehq/airbyte,a980b0e88eb8e40078b3eb85ef769d1d6c86cae7,Airbyte,human,Python,54943
airbytehq/airbyte,598a0856dbd99a5cbb23daf9bc7fe2378bbb091a,Airbyte,human,Python,54936
airbytehq/airbyte,dc8aa1addb7ce382aa06da541dda15fce9870af3,Airbyte,human,Python,59814
airbytehq/airbyte,f829f390a15fe889e56371b5685ffbd0f9fcdc59,Airbyte,human,Python,51742
airbytehq/airbyte,caa27549fdf1e339ad8c2e7a35f03127e63283d5,Airbyte,human,Python,58154
airbytehq/airbyte,a72b8097f6e7430b523a58e7e992aa87bcc9457e,Airbyte,human,Python,59603
