project,full_url,pr_number,commit_sha,author,language,system_loc,cloned_loc,clone_density
airbyte,https://github.com/airbytehq/airbyte,50961,82e66044e9b0f528dfecc8eb4323682aee66e08e,human,py,121495,1784,1.47
airbyte,https://github.com/airbytehq/airbyte,50971,3e03d6b04e5e490af2e4d2b95159fc9cc7cda538,human,py,121476,1798,1.48
airbyte,https://github.com/airbytehq/airbyte,51072,7e84979bc94fd5db5d1724fcb069553c6b442cd3,human,py,121476,1798,1.48
airbyte,https://github.com/airbytehq/airbyte,51081,03fd33b5f2b24c95111c0801357d51554dbd3c13,human,py,121476,1798,1.48
airbyte,https://github.com/airbytehq/airbyte,51109,c9a2e8876c5119b5ab6fc4ab77ce7d012841270c,human,py,121476,1798,1.48
airbyte,https://github.com/airbytehq/airbyte,51146,2025f40c37525ad4dc107461ea7d7068c5abdfbb,human,py,121476,1798,1.48
airbyte,https://github.com/airbytehq/airbyte,51161,f5210f7edbb928edc12ed116b3501e48d97eb2a8,human,py,121476,1798,1.48
airbyte,https://github.com/airbytehq/airbyte,51292,85e15a55d8d0cfb0d0dc813efebb0e03c3e25c0f,human,py,121476,1798,1.48
airbyte,https://github.com/airbytehq/airbyte,51308,7211fa151bff18d41c831c2de2609e791f71eb31,human,py,121476,1798,1.48
airbyte,https://github.com/airbytehq/airbyte,51319,47de7bf5b3c21512512be68376f4816ba3bc5409,human,py,121476,1798,1.48
airbyte,https://github.com/airbytehq/airbyte,51349,1491cd037d12351ad2b7447650b67bc6f24ccd55,human,py,121476,1798,1.48
airbyte,https://github.com/airbytehq/airbyte,51437,a386c2dfa1b8fec94ab398b2d7f4c1f3b671eb2d,human,py,121476,1798,1.48
airbyte,https://github.com/airbytehq/airbyte,51561,9f94782e013b32bfb799ec321d0360541d894081,human,py,106975,1782,1.67
airbyte,https://github.com/airbytehq/airbyte,51585,c37a9b9420e3a23f63cbc657003c51c8102bbf60,human,py,121573,1798,1.48
airbyte,https://github.com/airbytehq/airbyte,51624,cf7289543bc6331c6bdd6ce8227ea480403cc7a0,human,py,101953,1773,1.74
airbyte,https://github.com/airbytehq/airbyte,51651,c8cbfc9684d7b31583f06c241727c813303e672a,human,py,106363,1782,1.68
airbyte,https://github.com/airbytehq/airbyte,51694,228c97dc220de081ce388270819bc1826e89c753,human,py,106363,1782,1.68
airbyte,https://github.com/airbytehq/airbyte,51714,212878a6b26b5bddf96ee162f8ec7d78804404a3,human,py,106363,1782,1.68
airbyte,https://github.com/airbytehq/airbyte,51736,020c93ea7fce2ba36bc16cbd303dcae9d46ca24a,human,py,106363,1782,1.68
airbyte,https://github.com/airbytehq/airbyte,51742,f829f390a15fe889e56371b5685ffbd0f9fcdc59,human,py,106363,1782,1.68
airbyte,https://github.com/airbytehq/airbyte,51827,ffc7e26edf05cb6ce48fe4736748fbac0d074b14,human,py,106363,1782,1.68
airbyte,https://github.com/airbytehq/airbyte,51857,ede5c9989be2889209b953d8829993e6e465c104,human,py,106363,1782,1.68
airbyte,https://github.com/airbytehq/airbyte,51858,db7e40045401684dc7674950224cffff0e0e9519,human,py,106363,1782,1.68
airbyte,https://github.com/airbytehq/airbyte,51875,b3bbc5c981c58f1e0a17b962dbb4b1660e7b5300,human,py,106363,1782,1.68
airbyte,https://github.com/airbytehq/airbyte,51913,ea596e87f682819743b9c8ada32877ed33a93423,human,py,106363,1782,1.68
airbyte,https://github.com/airbytehq/airbyte,52007,dfc012d080d0ae3cb8a407e75091100ab9a889f0,human,py,106363,1782,1.68
