project,full_url,pr_number,commit_sha,author,language,system_loc,cloned_loc,clone_density
marimo,https://github.com/marimo-team/marimo,3335,4baa85cba93bc3398b7164d23291158b7b1be026,agent,py,52683,656,1.25
marimo,https://github.com/marimo-team/marimo,3349,12d13473c5e0422df4105bdeb16a013ef8ba2f6b,agent,py,52843,656,1.24
marimo,https://github.com/marimo-team/marimo,3368,f98aeb4ae3ba0386e6893b4a8f851f2a92b7d9e8,human,py,53060,656,1.24
marimo,https://github.com/marimo-team/marimo,3378,614162f5a5358475b1b1101430abd03e9e5a20a4,agent,py,53060,656,1.24
marimo,https://github.com/marimo-team/marimo,3395,b8ed14722f23b2abdfaeb35a00cb939df40cafbf,human,py,53059,656,1.24
marimo,https://github.com/marimo-team/marimo,3437,87df6ea88ea590460e0b72c288b8d8b8427bdcee,human,py,53211,656,1.23
marimo,https://github.com/marimo-team/marimo,3467,295e0249bc26d1b43dd564f7ca4c9abac26ef9b5,agent,py,53518,656,1.23
marimo,https://github.com/marimo-team/marimo,3479,2ccd52d5802dfcd687e7db461f1901b5c182aff4,agent,py,53552,656,1.22
marimo,https://github.com/marimo-team/marimo,3481,01e7abfab834e49a17d2e60bedbae242f0f860fc,agent,py,53552,656,1.22
marimo,https://github.com/marimo-team/marimo,3484,9529996fa2270610d2f958a74a3fd3552a3e7058,agent,py,53561,656,1.22
marimo,https://github.com/marimo-team/marimo,3520,fca60fe8a566108db13633349582d73f4d8bbfab,human,py,53872,656,1.22
marimo,https://github.com/marimo-team/marimo,3525,51da99cdc32ae8b8781451a9a776aebf499b66a7,human,py,53872,656,1.22
marimo,https://github.com/marimo-team/marimo,3527,0358cbd9681665118ddb3ab0a789fa2a999e1e67,human,py,53900,656,1.22
marimo,https://github.com/marimo-team/marimo,3551,dc13224596324b683466de5024d4676c852e852c,human,py,54036,695,1.29
marimo,https://github.com/marimo-team/marimo,3577,1c42ab1cc68bc05c51c46405485617453bb04b94,human,py,54325,681,1.25
marimo,https://github.com/marimo-team/marimo,3591,262a71b9e458826e57d966ace32560a502c37317,agent,py,54350,681,1.25
marimo,https://github.com/marimo-team/marimo,3618,8f22ae6bfcea89284c021c832ae2fcf496304094,agent,py,54686,700,1.28
marimo,https://github.com/marimo-team/marimo,3621,72ef0605bc4d4624ab1e76ae861eb204c8d3dcac,agent,py,54686,700,1.28
marimo,https://github.com/marimo-team/marimo,3628,10b70122537f009b4087abf4e1acc37d7722a935,human,py,54922,700,1.27
marimo,https://github.com/marimo-team/marimo,3671,afee5a5039378e30f4f81e50e8ccf4c807e51fc0,agent,py,55671,700,1.26
marimo,https://github.com/marimo-team/marimo,3673,4c5794344eaa63d5b14cf581aeb37ea0044c9298,agent,py,55671,700,1.26
marimo,https://github.com/marimo-team/marimo,3699,14157daac53239ff2aae68d7f11e490def29a8bc,agent,py,55962,700,1.25
marimo,https://github.com/marimo-team/marimo,3703,04f7f0fd9d20ae360f06dec8ee4943a870d10b00,human,py,56024,700,1.25
marimo,https://github.com/marimo-team/marimo,3723,c2361e43b1877e58c6838d55851522d4eac4d4bb,agent,py,56206,700,1.25
marimo,https://github.com/marimo-team/marimo,3729,b0fb21f87f85ebe1e5916a2c41ac86edae99ae0f,agent,py,56162,700,1.25
marimo,https://github.com/marimo-team/marimo,3755,0e2ff5710b57c7c07f820c55e7ca50f81b860742,human,py,56550,700,1.24
marimo,https://github.com/marimo-team/marimo,3768,48a78980fcab5b21b2e8af73e5693483c55612b7,agent,py,56400,700,1.24
marimo,https://github.com/marimo-team/marimo,3840,e7f1278c7805f7d277c101e5040313a14fbe325e,agent,py,59314,736,1.24
marimo,https://github.com/marimo-team/marimo,3842,48faf05598ffe5205f5a531db9933087e2d5c20e,agent,py,59316,736,1.24
marimo,https://github.com/marimo-team/marimo,3843,114b1c1901b892a652d8f5d1fd7860a461a56cdc,agent,py,59324,762,1.28
