project,full_url,pr_number,commit_sha,author,language,system_loc,cloned_loc,clone_density
mlflow,https://github.com/mlflow/mlflow,14265,d581c2964fd24fa2e0c81b7a6dce565867a7c8f2,human,py,119990,2805,2.34
mlflow,https://github.com/mlflow/mlflow,14278,f6b8866175158837021baa6dcbf36dfc73f0d87c,human,py,120314,2823,2.35
mlflow,https://github.com/mlflow/mlflow,14291,78799bab92f22e818ba4d9fffe546243ec8b81ac,human,py,120408,2823,2.34
mlflow,https://github.com/mlflow/mlflow,14304,83223bc087499d4dac83c5928d83076aec0a78b9,human,py,120939,2871,2.37
mlflow,https://github.com/mlflow/mlflow,14342,86fed10b58ed2f163de6d01f08722a0825d0a256,human,py,120956,2871,2.37
mlflow,https://github.com/mlflow/mlflow,14346,116ed464facfea1dfd9c816a09b558eeb4721323,human,py,120956,2871,2.37
mlflow,https://github.com/mlflow/mlflow,14364,3b05b93b0ce46bfc6f75284211fced8e3c68065c,human,py,121429,2911,2.4
mlflow,https://github.com/mlflow/mlflow,14439,022bcf8ae8f99f9c302ecd886e28fa496e3f42d5,human,py,121402,2871,2.36
mlflow,https://github.com/mlflow/mlflow,14522,8b61d57f019d71d0bb921bb86016d3f308c441e2,human,py,124858,2884,2.31
mlflow,https://github.com/mlflow/mlflow,14572,a0763bf734ce01037db82632eff3bee20a3b3892,human,py,122213,2909,2.38
mlflow,https://github.com/mlflow/mlflow,14632,2fbf6bc1cdcb3e76069169e327bbb1f5427a04b1,human,py,122428,2914,2.38
mlflow,https://github.com/mlflow/mlflow,14651,674008bf697f5223d087808ce94e60c18dd664bd,human,py,122411,2914,2.38
mlflow,https://github.com/mlflow/mlflow,14689,2c2f43863d9587c642fb049cf09971c6677db7eb,human,py,124925,2899,2.32
mlflow,https://github.com/mlflow/mlflow,14701,3e5ea5ba7542dbdd766a7bbfad665e8e3a1f1334,human,py,121935,2885,2.37
mlflow,https://github.com/mlflow/mlflow,14703,73935ebd4acc85672a41a6d9898d2e61dea551f0,human,py,122831,2925,2.38
mlflow,https://github.com/mlflow/mlflow,14716,aaa17207d7919997a6283bba52f9863a974a637d,human,py,123132,2925,2.38
mlflow,https://github.com/mlflow/mlflow,14759,bdbf340b914cc472fb627a89964ebc478dd024e6,human,py,123445,2925,2.37
mlflow,https://github.com/mlflow/mlflow,14821,da814bf4fc9a437f699cf36164ac14db878cbfe8,human,py,123821,3038,2.45
mlflow,https://github.com/mlflow/mlflow,14826,42ab829a360742148465b649058dbb31b56ed131,human,py,123675,2990,2.42
mlflow,https://github.com/mlflow/mlflow,14860,48e905fab50399bb258db3ca2076d50a10cdd6b7,human,py,124372,3038,2.44
mlflow,https://github.com/mlflow/mlflow,14938,d48402735bf1577cbbe36276c70b04c4b249ab35,human,py,128789,3184,2.47
mlflow,https://github.com/mlflow/mlflow,15160,0ffbe5de83c94913a5b8f2ca43c258c384cfbb16,human,py,129994,3235,2.49
mlflow,https://github.com/mlflow/mlflow,15171,4a385327b1b284d5e6e0704ca2a820c5df23670f,human,py,130011,3235,2.49
mlflow,https://github.com/mlflow/mlflow,15219,1ca65e31732052c1e68677cc576928226af03e90,human,py,129906,3260,2.51
mlflow,https://github.com/mlflow/mlflow,15249,869618dbe38e211a7e5e7091436453ff921ab1d1,human,py,125991,3216,2.55
mlflow,https://github.com/mlflow/mlflow,15250,cee43c7a85ffd9287af4ff1151fbe391f9f91e09,human,py,124621,3273,2.63
mlflow,https://github.com/mlflow/mlflow,15256,ccd1fdc19bd1d6f0ad52987fd24948773dea8fec,human,py,125988,3218,2.55
mlflow,https://github.com/mlflow/mlflow,15298,79805a3f31de807b1675fb9729943cd8b36de344,human,py,125965,3191,2.53
mlflow,https://github.com/mlflow/mlflow,15420,9b876f6249b963a5204dbc0942df7475183e9134,human,py,125268,3097,2.47
mlflow,https://github.com/mlflow/mlflow,15481,58a95e7276e5c9e6a4dda74071a0db7e13b2e317,human,py,125586,3065,2.44
mlflow,https://github.com/mlflow/mlflow,15509,f2de138c0afab271dcc0c12293810de497cbfb4c,human,py,127141,3210,2.52
mlflow,https://github.com/mlflow/mlflow,15522,a1926533632cb57b2b4051fc969f26df96ada078,human,py,127142,3210,2.52
mlflow,https://github.com/mlflow/mlflow,15683,54df2d8b274d7f6c84e994933737e7d49f9fb43b,human,py,126415,3102,2.45
mlflow,https://github.com/mlflow/mlflow,15733,189e287ecbc446e784a3f4458b19a6995da57254,human,py,126901,3102,2.44
mlflow,https://github.com/mlflow/mlflow,15743,b8a703a3d53e1e449aeca02c46c29417105df1e2,human,py,127231,3102,2.44
