project,full_url,pr_number,commit_sha,author,language,system_loc,cloned_loc,clone_density
flexile,https://github.com/antiwork/flexile,27,d1b7537e56a72bf4b27f77d2a1e043477b5d654b,human,rb,62996,533,0.85
flexile,https://github.com/antiwork/flexile,33,a43173484e94bc88567a91f6a261b8a6a20160d1,human,rb,63029,533,0.85
flexile,https://github.com/antiwork/flexile,38,0cd73d7a4662794139dcd967e18fadf580f5d27c,human,rb,63029,533,0.85
flexile,https://github.com/antiwork/flexile,40,a34bfbacab55dd179e0886adfc82505a0b8c9cd9,human,rb,63029,533,0.85
flexile,https://github.com/antiwork/flexile,41,9517b4899d2992385e56730fbb86c4c41c8fe351,human,rb,62996,533,0.85
flexile,https://github.com/antiwork/flexile,47,0f8e279d592e083aa4be74a6b47209d203844c08,human,rb,62996,533,0.85
flexile,https://github.com/antiwork/flexile,49,4b87eba3ae8cdea2acc075ae5df473275dac52d3,human,rb,62996,533,0.85
flexile,https://github.com/antiwork/flexile,51,8930a7003dad32e5f6761630797b2aa0e1901dd9,human,rb,62996,533,0.85
flexile,https://github.com/antiwork/flexile,52,71b2697b5c6631e45ae97012cac12cc7214e0082,human,rb,62996,533,0.85
flexile,https://github.com/antiwork/flexile,53,83d5096a932fd7c6253e04dedd8725a91cebc3dc,human,rb,62996,533,0.85
flexile,https://github.com/antiwork/flexile,54,0c5f01dad347c3c728492ada1eb7af7eee9f7435,human,rb,62996,533,0.85
flexile,https://github.com/antiwork/flexile,55,a273d5c700e7d6ba544c025ba6895885d5fbb031,human,rb,62996,533,0.85
flexile,https://github.com/antiwork/flexile,56,bb3c968dc650e4a481a4603f5d6c38cf794d639f,human,rb,62996,533,0.85
flexile,https://github.com/antiwork/flexile,60,86238d3a3a0469ab677e44268ba67266366b3ac1,human,rb,62971,533,0.85
flexile,https://github.com/antiwork/flexile,61,d44eb65a15981de381cc28efb3be69c3c05ad4d5,agent,rb,62971,533,0.85
flexile,https://github.com/antiwork/flexile,67,c23eaf5342c1bf3d2d0f50fcd97ef905f672e7f8,human,rb,62971,533,0.85
flexile,https://github.com/antiwork/flexile,73,bcc4b64b3aa71f6792be4acc7f1ce60f57843474,human,rb,62646,533,0.85
flexile,https://github.com/antiwork/flexile,74,abd47509612ba1e5770f6c3429ab81a97c618d3c,human,rb,62968,533,0.85
flexile,https://github.com/antiwork/flexile,77,d93bb44e14c4c198ca586edaf3d3cff70a655045,agent,rb,62968,533,0.85
flexile,https://github.com/antiwork/flexile,79,b09b0cd316b5b1e59bb1b7beb53147770ee8a1d5,human,rb,62968,533,0.85
flexile,https://github.com/antiwork/flexile,81,4be2550c29e1d0b8fa90caf99bd776576344de34,human,rb,62968,533,0.85
flexile,https://github.com/antiwork/flexile,83,0ae849cc0a78601dea6dc0fb7c23737e168c2f89,human,rb,62968,533,0.85
flexile,https://github.com/antiwork/flexile,84,e3160f70c1c4f858f5d62803fd27b4c036a972c6,human,rb,62968,533,0.85
flexile,https://github.com/antiwork/flexile,85,d85038be71e5fc7daf4fef23e0bf375cfe678c97,human,rb,62968,533,0.85
flexile,https://github.com/antiwork/flexile,88,c9e16a49407db7aaf44f048f21978812718ee7a4,human,rb,62968,533,0.85
flexile,https://github.com/antiwork/flexile,90,a5b25db4b8987143415ee0cc3cd269bd3bfb0f17,human,rb,62685,533,0.85
flexile,https://github.com/antiwork/flexile,91,e8b02a73696a98f3611351a5651e4986efcbc026,human,rb,62646,533,0.85
flexile,https://github.com/antiwork/flexile,92,d1230f1575b3ac827758dd03fac5df79b46acc96,human,rb,62968,533,0.85
flexile,https://github.com/antiwork/flexile,93,0fcd2769c3e73956de6fc47053a48b2304dd8a31,human,rb,62968,533,0.85
flexile,https://github.com/antiwork/flexile,95,59cc40278b77432edd05ea352fa32ad588beb7a4,human,rb,62925,533,0.85
flexile,https://github.com/antiwork/flexile,98,1d1dfdf4e7c046becbf036bcb719d8efc0622876,human,rb,62925,533,0.85
flexile,https://github.com/antiwork/flexile,99,c9da4ac26ec73459b63fc4dbf22b40e4ebbbcd63,agent,rb,62968,533,0.85
flexile,https://github.com/antiwork/flexile,100,b3bce72fe254479986241668b35b31ef9fde38e9,agent,rb,62925,533,0.85
flexile,https://github.com/antiwork/flexile,104,53cdae31993e5d4c70b7311fc6114e2b71eed804,agent,rb,62925,533,0.85
flexile,https://github.com/antiwork/flexile,105,47e1692dc39a4ad8c3d1c77c098dd7d490f28894,agent,rb,62925,533,0.85
flexile,https://github.com/antiwork/flexile,106,26071aeca2a42ab92d42546274c9a1eb0f6217b0,agent,rb,62925,533,0.85
flexile,https://github.com/antiwork/flexile,108,e4907f765dad9d4617771b2ddf6dc645b638070e,agent,rb,62925,533,0.85
flexile,https://github.com/antiwork/flexile,110,6d33a3240d7d1fce7b0e697e2ddd974ca08a1a23,agent,rb,62667,533,0.85
flexile,https://github.com/antiwork/flexile,111,aac0f15374e3be559dae936eb1bd1cfec7d20e00,agent,rb,62925,533,0.85
flexile,https://github.com/antiwork/flexile,112,07a426b50f97119e3f9583c6669dcd1eb9b9a7ad,agent,rb,62925,533,0.85
flexile,https://github.com/antiwork/flexile,113,e6b414a6ed37a34404d9b20ec3f95e0d3549f36d,human,rb,62925,533,0.85
flexile,https://github.com/antiwork/flexile,115,470ecb5e53782f889113408fc7107c4829d83f1e,human,rb,62925,533,0.85
flexile,https://github.com/antiwork/flexile,116,c1ab52ff6adca13d586738b15b80330a4a2452d7,human,rb,62925,533,0.85
flexile,https://github.com/antiwork/flexile,120,8f88f5bd6fd6fffd8f61ee55a039058bef8bbd92,human,rb,62925,533,0.85
flexile,https://github.com/antiwork/flexile,123,e9096de6cb8f83553b1ca8f4e4c5e15648e64754,agent,rb,62684,533,0.85
flexile,https://github.com/antiwork/flexile,124,3ba8a9d49a2dbe03bb547792d5be04701f4948de,human,rb,62925,533,0.85
flexile,https://github.com/antiwork/flexile,125,563d72a6522dec46e1579a4e51265a84529d33fa,human,rb,62666,533,0.85
flexile,https://github.com/antiwork/flexile,127,84c650612b87f0fb0b096bd0b0d55733548426d1,human,rb,62684,533,0.85
flexile,https://github.com/antiwork/flexile,128,553de43242da316f38d2345ae8ca7ee815638b20,human,rb,62646,533,0.85
flexile,https://github.com/antiwork/flexile,131,e60ac2f7376323fd8234052d4f919ff753313b6c,agent,rb,62648,533,0.85
flexile,https://github.com/antiwork/flexile,133,6879b59b03d5b763339f66b1369dac2ec859fe69,human,rb,62646,533,0.85
flexile,https://github.com/antiwork/flexile,135,5f48ca15cac6569d2830ba3e9abba4a26a993786,human,rb,62646,533,0.85
flexile,https://github.com/antiwork/flexile,136,5748ba25c1aa0c69c2613e367af227d02c694678,human,rb,62646,533,0.85
flexile,https://github.com/antiwork/flexile,137,e9c471f5a75e617c614d6fd92e43ad8423f54460,human,rb,62666,533,0.85
flexile,https://github.com/antiwork/flexile,138,d4f566bfb248f4c228b86e274b450217624ec8a7,agent,rb,62648,533,0.85
flexile,https://github.com/antiwork/flexile,141,1d15bc4c6a91b3e2e5bb57a2ccd29ede35e8afc7,agent,rb,62648,533,0.85
flexile,https://github.com/antiwork/flexile,143,c27c717e2f935db226dc70bbf42a2b079127f20a,human,rb,62648,533,0.85
flexile,https://github.com/antiwork/flexile,144,fa65809ca651703471ea3ec68bb2a31c4d728c7f,human,rb,62666,533,0.85
flexile,https://github.com/antiwork/flexile,145,ea7c6e0fc8014230f38f2015eb3cbe6b64f08b1a,human,rb,62648,533,0.85
flexile,https://github.com/antiwork/flexile,146,f40f0428b8a26abc8de4097dc1874e4b8e0a9a41,human,rb,62666,533,0.85
